player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Fábio Ferreira Vieira,MID,1,290,1,3,1,0,1,0,1.25,0.64,1.89,82.8,88.8,85.0,25.5,24,4.4
Gabriel dos Santos Magalhães,DEF,1,3042,3,1,16,4,0,8,4.48,0.65,5.13,675.8,121.9,379.0,117.9,149,27.6
Kai Havertz,MID,1,2627,13,10,16,11,0,15,12.36,3.88,16.23,763.2,613.4,1027.0,240.2,180,23.7
Gabriel Fernando de Jesus,FWD,1,1470,4,7,11,6,0,10,6.27,3.26,9.53,364.8,403.0,756.0,152.7,85,11.0
Jorge Luiz Frello Filho,MID,1,913,0,2,4,1,0,1,0.1,1.77,1.87,165.4,187.8,16.0,36.8,44,8.3
Jakub Kiwior,DEF,1,942,1,3,6,1,0,1,0.74,0.6,1.34,228.8,106.9,90.0,42.7,67,16.8
Gabriel Martinelli Silva,MID,1,2010,6,5,10,1,0,6,6.36,5.18,11.53,500.4,717.1,795.0,200.8,118,15.7
Eddie Nketiah,FWD,1,1065,5,4,6,3,0,5,4.65,0.53,5.18,235.0,136.3,417.0,77.2,71,14.2
Martin Ødegaard,MID,1,3098,8,11,19,2,0,26,7.53,10.16,17.69,910.4,1499.4,757.0,317.0,186,21.6
Thomas Partey,MID,1,785,0,0,5,3,0,0,0.43,0.58,1.01,117.6,122.9,37.0,27.8,24,5.0
Aaron Ramsdale,GK,1,540,0,0,2,0,0,0,0.0,0.01,0.01,73.2,0.0,0.0,7.3,20,4.4
Bukayo Saka,MID,1,2922,16,12,16,4,0,29,15.4,10.9,26.29,1093.8,1319.8,1342.0,375.7,226,25.7
William Saliba,DEF,1,3420,2,1,18,4,0,13,1.7,0.9,2.6,697.2,152.1,140.0,99.1,164,27.8
Emile Smith Rowe,MID,1,343,0,2,3,0,0,0,1.86,0.4,2.26,62.4,72.2,128.0,25.6,25,4.7
Takehiro Tomiyasu,DEF,1,1140,2,1,6,0,1,4,1.74,0.68,2.42,247.0,141.8,143.0,52.8,70,15.6
Leandro Trossard,MID,1,1633,12,2,12,2,0,11,8.29,2.96,11.25,563.6,384.7,746.0,169.5,138,20.9
Benjamin White,DEF,1,2987,4,5,18,8,0,14,1.27,3.66,4.93,765.8,589.4,234.0,159.0,182,29.8
Oleksandr Zinchenko,DEF,1,1717,1,2,9,2,0,16,0.6,2.65,3.25,395.4,474.8,133.0,100.4,104,20.8
David Raya Martin,GK,1,2880,0,0,16,2,0,6,0.0,0.04,0.04,413.0,0.0,0.0,41.1,135,25.5
Declan Rice,MID,1,3225,7,9,17,5,0,17,3.53,5.09,8.62,959.4,745.3,451.0,215.9,165,30.0
Reiss Nelson,MID,1,256,0,0,1,1,0,0,0.18,0.43,0.61,42.8,87.7,39.0,16.9,16,3.3
Alexandre Moreno Lopera,DEF,2,1024,2,0,3,2,0,5,1.11,0.98,2.09,217.8,156.9,152.0,52.7,49,10.0
Leon Bailey,MID,2,2063,10,11,5,5,0,11,6.29,7.17,13.46,663.2,707.1,623.0,199.1,148,27.4
Matty Cash,DEF,2,2138,2,2,3,8,0,4,4.41,2.47,6.88,465.2,231.8,378.0,107.1,64,14.2
Calum Chambers,DEF,2,149,0,1,0,1,0,0,0.0,0.01,0.01,39.0,12.2,0.0,5.1,6,1.6
Leander Dendoncker,MID,2,118,1,1,0,0,0,3,0.73,0.01,0.74,59.2,3.9,37.0,10.0,20,4.1
Diego Carlos Santos Silva,DEF,2,1809,0,0,6,4,0,1,1.95,0.35,2.3,370.4,59.8,100.0,53.2,55,12.5
Lucas Digne,DEF,2,2405,1,4,6,7,0,5,0.99,3.49,4.48,448.4,601.7,200.0,125.1,85,18.5
Douglas Luiz Soares de Paulo,MID,2,2994,9,5,6,12,0,25,6.69,4.86,11.55,761.8,867.0,381.0,201.1,148,27.4
Jhon Durán,FWD,2,461,5,1,0,5,0,7,2.04,0.15,2.18,190.2,55.2,165.0,40.2,50,10.0
Tim Iroegbunam,MID,2,157,0,0,0,0,0,0,0.0,0.0,0.0,18.6,4.0,0.0,2.1,10,2.3
Boubacar Kamara,MID,2,1653,0,1,7,7,1,1,0.13,1.39,1.52,256.2,292.7,44.0,59.1,40,8.0
Ezri Konsa Ngoyo,DEF,2,3069,1,1,7,5,0,7,2.56,1.01,3.57,554.4,170.6,223.0,95.0,91,20.2
Emiliano Martínez Romero,GK,2,3015,0,0,8,4,0,19,0.0,0.01,0.01,802.0,20.0,0.0,82.2,115,22.1
John McGinn,MID,2,3000,6,5,7,9,1,9,5.01,4.99,10.0,640.4,690.7,360.0,169.4,119,22.5
Robin Olsen,GK,2,405,0,0,0,0,0,3,0.0,0.0,0.0,194.6,0.0,0.0,19.5,17,4.4
Jacob Ramsey,MID,2,848,1,1,0,2,0,0,2.09,1.38,3.47,124.0,159.3,182.0,46.7,29,4.9
Youri Tielemans,MID,2,1613,2,6,4,3,0,2,1.24,1.98,3.22,369.2,325.4,136.0,83.3,77,13.8
Ollie Watkins,FWD,2,3222,19,18,7,4,0,29,16.74,4.02,20.76,1024.6,588.5,1420.0,302.8,228,25.6
Pau Torres,DEF,2,2462,2,0,6,1,0,4,0.96,0.71,1.67,479.4,150.6,135.0,76.6,85,18.5
