player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Gabriel Fernando de Jesus,FWD,1,600,3,2,2,4,0,6,3.05,0.52,3.57,154.4,119.5,255.0,52.6,42,6.5
Gabriel dos Santos Magalhães,DEF,1,2363,3,2,10,4,0,9,2.7,1.21,3.91,584.6,208.8,287.0,108.2,117,19.2
Kai Havertz,FWD,1,1872,9,3,7,5,0,14,9.53,1.65,11.18,467.6,269.0,711.0,144.8,97,12.6
Jurriën Timber,DEF,1,2415,1,3,11,7,0,9,1.23,1.3,2.53,393.0,296.8,254.0,94.2,114,20.7
Jorge Luiz Frello Filho,MID,1,701,0,0,2,5,0,0,0.06,0.59,0.65,44.8,88.8,8.0,14.2,20,4.3
Jakub Kiwior,DEF,1,1117,1,0,3,1,0,2,0.17,0.29,0.46,267.2,91.3,32.0,39.2,43,8.8
Gabriel Martinelli Silva,MID,1,2284,8,4,10,1,0,6,7.13,4.46,11.59,559.8,587.8,912.0,206.1,125,19.2
Ethan Nwaneri,MID,1,882,4,2,4,1,0,4,1.19,1.78,2.97,293.2,282.8,255.0,83.0,66,15.3
Martin Ødegaard,MID,1,2321,3,9,11,4,0,11,4.85,6.68,11.53,524.6,968.7,493.0,198.8,116,14.1
David Raya Martin,GK,1,3420,0,0,13,3,0,10,0.0,0.03,0.03,755.4,10.7,0.0,76.7,142,25.4
Declan Rice,MID,1,2823,4,7,11,5,1,17,3.51,5.64,9.14,733.0,959.6,399.0,208.8,127,20.2
Bukayo Saka,MID,1,1724,6,11,7,3,0,18,6.87,7.78,14.65,606.0,842.8,830.0,227.9,127,12.2
William Saliba,DEF,1,3039,2,0,12,2,1,14,2.42,1.28,3.7,672.6,150.1,116.0,94.2,130,20.3
Thomas Partey,MID,1,2793,4,3,9,4,0,8,2.27,2.64,4.91,626.6,377.9,223.0,123.2,108,22.0
Kieran Tierney,DEF,1,250,1,0,1,0,0,2,0.38,0.54,0.92,91.8,109.1,48.0,25.0,27,6.3
Leandro Trossard,MID,1,2546,8,8,11,2,1,18,6.74,4.12,10.86,609.0,617.6,798.0,202.1,152,22.7
Benjamin White,DEF,1,1195,0,2,5,2,0,0,0.46,1.3,1.76,247.6,162.6,100.0,51.0,50,8.1
Oleksandr Zinchenko,DEF,1,518,0,1,4,1,0,2,0.65,0.52,1.17,83.4,92.8,66.0,24.1,40,8.3
Norberto Murara Neto,GK,1,180,0,0,0,0,0,0,0.0,0.0,0.0,77.8,0.0,0.0,7.8,7,1.7
Raheem Sterling,MID,1,490,0,2,1,1,0,0,1.43,0.48,1.91,67.2,125.5,122.0,31.3,26,3.9
Riccardo Calafiori,DEF,1,978,2,1,1,4,0,1,0.86,0.69,1.55,252.6,118.2,176.0,54.6,39,6.7
Myles Lewis-Skelly,MID,1,1362,1,0,5,3,2,0,0.16,0.51,0.67,176.0,170.7,57.0,40.0,37,8.2
Mikel Merino,MID,1,1575,7,2,4,2,1,8,5.75,1.18,6.93,456.8,265.8,511.0,123.3,92,15.3
Leon Bailey,MID,2,1132,1,2,2,3,0,2,1.73,2.92,4.65,146.4,235.8,325.0,70.3,47,7.6
Ross Barkley,MID,2,567,3,1,1,3,0,5,1.79,0.43,2.22,215.4,128.1,206.0,54.8,44,8.5
Matty Cash,DEF,2,2069,1,1,7,7,0,2,0.48,1.23,1.71,359.2,181.0,171.0,71.3,76,17.3
Diego Carlos Santos Silva,DEF,2,828,0,0,2,1,0,1,0.64,0.08,0.72,150.6,9.2,54.0,21.5,21,4.7
Lucas Digne,DEF,2,2348,0,5,6,4,0,7,0.8,3.97,4.77,512.6,583.9,112.0,120.7,89,20.2
Jhon Durán,FWD,2,622,7,0,2,3,1,9,5.11,0.24,5.35,273.8,68.9,334.0,67.5,53,9.3
Boubacar Kamara,MID,2,1720,1,0,6,2,0,3,0.82,0.83,1.65,326.6,191.0,83.0,60.2,57,11.4
Ezri Konsa Ngoyo,DEF,2,2936,2,0,8,1,0,10,1.29,0.61,1.9,532.8,123.9,166.0,82.4,103,22.9
Ian Maatsen,DEF,2,1125,1,2,3,2,0,0,0.87,2.43,3.3,252.0,293.4,197.0,74.3,57,12.7
Emiliano Martínez Romero,GK,2,3195,0,0,8,5,1,6,0.0,0.02,0.02,839.6,20.0,0.0,86.0,111,22.2
John McGinn,MID,2,2217,1,4,8,7,0,1,3.1,2.7,5.8,277.2,500.6,263.0,103.7,78,15.0
Tyrone Mings,DEF,2,1119,0,1,4,1,0,5,0.88,0.23,1.11,220.4,49.2,74.0,34.6,47,10.7
Kosta Nedeljković,DEF,2,121,0,0,0,0,0,0,0.0,0.02,0.02,22.8,7.2,0.0,3.0,5,1.3
Robin Olsen,GK,2,225,0,0,1,0,0,0,0.0,0.0,0.0,59.2,0.0,0.0,5.9,9,2.0
Pau Torres,DEF,2,2019,0,0,5,2,0,3,0.51,0.43,0.94,350.6,84.5,102.0,54.0,55,13.1
Jacob Ramsey,MID,2,1616,1,4,5,2,1,3,1.59,2.18,3.77,235.4,307.9,245.0,78.7,66,12.2
Morgan Rogers,MID,2,3115,8,11,10,10,0,15,6.49,5.24,11.73,730.6,722.7,689.0,214.2,161,27.8
Youri Tielemans,MID,2,3025,3,7,7,4,0,15,3.31,5.83,9.14,799.6,963.1,333.0,209.6,121,22.0
Ollie Watkins,FWD,2,2593,16,8,10,2,0,32,15.12,2.07,17.19,766.0,345.2,1148.0,223.8,186,20.2
Axel Disasi,DEF,2,851,1,0,3,3,0,0,0.37,0.37,0.74,169.6,75.6,51.0,29.7,33,7.9
Amadou Onana,MID,2,1613,3,0,6,4,0,5,2.12,0.84,2.96,358.0,194.8,215.0,77.0,65,13.5
Marcus Rashford,MID,2,1414,6,4,7,2,0,9,4.67,3.43,8.1,398.4,451.1,369.0,122.1,95,14.4
Lamare Bogarde,DEF,2,473,0,0,0,2,0,0,0.04,0.13,0.17,84.8,33.3,15.0,13.3,6,1.5
Donyell Malen,MID,2,296,3,0,0,0,0,3,2.15,0.15,2.3,138.2,42.7,208.0,38.5,34,6.4
Andrés García,DEF,2,316,0,0,0,0,0,0,0.04,0.49,0.53,45.6,68.4,7.0,12.0,8,1.8
Marco Asensio,MID,2,740,3,2,3,2,0,6,4.43,1.16,5.59,200.6,232.5,242.0,67.2,44,7.3
Tyler Adams,MID,3,1959,0,3,6,7,0,1,1.33,0.76,2.09,411.8,261.2,83.0,75.9,58,11.8
David Brooks,MID,3,941,2,1,3,3,0,2,2.58,2.02,4.6,193.6,316.7,300.0,80.4,52,10.6
Ryan Christie,MID,3,2114,2,3,8,9,0,5,2.14,2.9,5.04,514.0,576.8,303.0,139.6,76,15.8
Lewis Cook,MID,3,2976,1,4,5,8,1,3,0.94,3.76,4.7,607.0,727.1,114.0,144.9,82,16.4
Enes Ünal,FWD,3,330,2,1,2,2,0,4,2.73,0.26,2.99,104.0,56.1,207.0,35.9,32,5.9
James Hill,DEF,3,443,0,1,1,1,0,0,0.29,0.25,0.54,97.0,38.4,29.0,16.6,17,4.4
Daniel Jebbison,FWD,3,105,1,0,0,1,0,1,1.05,0.12,1.17,58.2,39.1,70.0,16.6,20,4.4
Milos Kerkez,DEF,3,3336,2,6,9,4,0,10,0.6,2.57,3.17,694.0,642.0,238.0,157.3,134,25.3
Justin Kluivert,MID,3,2339,12,6,13,8,0,14,10.05,3.66,13.71,700.0,654.1,771.0,212.0,158,26.8
Dango Ouattara,MID,3,1998,7,4,7,3,0,7,8.42,3.24,11.66,624.6,496.8,754.0,187.2,111,24.7
Philip Billing,MID,3,176,0,0,0,1,0,0,0.55,0.97,1.52,54.0,102.4,47.0,20.4,10,2.1
Alex Scott,MID,3,745,0,0,3,3,0,0,0.73,1.0,1.73,141.6,171.6,118.0,43.2,26,5.5
Antoine Semenyo,MID,3,3202,11,7,11,9,0,14,9.51,4.43,13.94,792.2,688.9,1204.0,267.8,165,28.9
Marcos Senesi,DEF,3,1103,0,0,2,5,0,3,0.84,0.48,1.32,271.6,84.2,39.0,39.6,31,6.7
Luis Sinisterra,MID,3,229,1,1,0,0,0,2,1.18,1.29,2.47,112.0,115.3,195.0,42.3,23,4.8
Adam Smith,DEF,3,1586,0,0,6,7,0,0,0.65,0.68,1.33,181.8,147.2,24.0,35.0,57,13.0
Marcus Tavernier,MID,3,1932,3,7,4,6,0,4,5.51,3.65,9.16,447.0,664.8,442.0,155.4,87,16.1
Mark Travers,GK,3,450,0,0,1,0,0,1,0.0,0.01,0.01,146.4,0.0,0.0,14.6,19,4.3
Illia Zabarnyi,DEF,3,3109,0,1,8,4,1,8,1.2,0.76,1.96,651.4,177.0,88.0,92.0,94,21.4
Kepa Arrizabalaga,GK,3,2790,0,0,8,3,0,7,0.06,0.03,0.09,744.4,10.4,4.0,75.8,106,23.0
Dean Huijsen,DEF,3,2422,3,2,7,10,0,14,1.82,1.57,3.39,826.4,217.6,193.0,123.6,104,23.1
Julián Araujo Zúñiga,DEF,3,492,0,0,0,2,0,0,0.0,0.1,0.1,56.8,30.6,4.0,9.2,12,2.8
Francisco Evanilson de Lima Barbosa,FWD,3,2317,10,5,11,1,1,20,12.47,1.74,14.21,456.0,331.9,966.0,174.8,128,21.7
Kristoffer Ajer,DEF,4,1433,0,0,3,5,0,0,0.97,0.48,1.45,199.0,128.1,158.0,48.5,39,8.9
Nathan Collins,DEF,4,3420,2,7,8,5,0,11,2.44,1.57,4.01,1023.2,160.5,311.0,149.6,127,27.6
Mikkel Damsgaard,MID,4,2911,2,10,11,2,0,10,2.91,7.01,9.92,714.8,1006.4,338.0,205.9,131,26.7
Mark Flekken,GK,4,3275,0,2,7,1,0,12,0.0,0.11,0.11,1298.4,30.3,0.0,132.5,138,30.7
Rico Henry,DEF,4,94,0,0,0,0,0,0,0.0,0.01,0.01,13.6,2.1,2.0,1.7,4,0.9
Vitaly Janelt,MID,4,2251,1,3,6,3,0,2,0.83,2.38,3.21,356.6,284.2,131.0,77.2,73,15.2
Mathias Jensen,MID,4,846,0,2,2,2,0,1,0.23,1.75,1.98,157.0,249.5,32.0,43.8,38,7.2
Keane Lewis-Potter,MID,4,3092,1,5,8,7,0,0,2.96,4.94,7.9,542.0,462.2,391.0,139.9,94,18.8
Bryan Mbeumo,MID,4,3415,20,9,9,3,0,29,12.52,9.24,21.75,1236.8,1107.5,1060.0,340.8,236,28.4
Ben Mee,DEF,4,180,0,0,1,2,0,0,0.0,0.02,0.02,36.8,3.0,6.0,4.6,9,2.1
Christian Nørgaard,MID,4,2820,5,5,6,8,1,7,4.23,1.38,5.61,735.4,333.0,409.0,147.9,107,22.3
Ethan Pinnock,DEF,4,1912,2,0,2,2,0,0,1.08,0.64,1.72,540.2,101.2,193.0,83.6,47,10.7
Mads Roerslev Rasmussen,DEF,4,1100,0,2,2,2,0,0,0.2,2.09,2.29,214.4,185.8,78.0,48.0,36,8.4
Kevin Schade,MID,4,2281,11,4,10,3,0,12,8.45,1.75,10.2,630.8,312.7,892.0,183.3,149,28.1
Igor Thiago Nascimento Rodrigues,FWD,4,167,0,0,0,0,0,0,0.13,0.04,0.17,18.2,30.6,12.0,5.8,9,1.5
Hákon Valdimarsson,GK,4,144,0,0,0,0,0,0,0.0,0.0,0.0,21.4,0.1,0.0,2.1,2,0.5
Yoane Wissa,FWD,4,2921,18,6,9,5,0,32,18.58,2.2,20.77,849.4,400.0,1181.0,242.4,185,26.8
Yehor Yarmoliuk,MID,4,1435,0,0,3,6,0,0,0.62,0.91,1.53,259.6,196.1,89.0,54.4,43,10.0
